,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
745,3,USA hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050.0,350,No,Apartment ,45,Yes,As new,No,1400.0
746,2,Hyper equipped,2,2,2,234,E,42,Gas,Yes,1400.0,175,No,Apartment ,120,No,As new,Yes,1575.0
747,0,Hyper equipped,4,4,5,206,Not specified,53,Gas,Yes,2400.0,0,No,Others,180,No,As new,Unknown,2400.0
748,1,Hyper equipped,3,1,1,138,C,53,Gas,Yes,1350.0,270,No,Apartment ,110,No,As new,Yes,1620.0
749,3,Hyper equipped,3,1,1,145,C,31,Gas,Yes,1600.0,300,No,Apartment ,140,No,As new,Yes,1900.0
750,1,Hyper equipped,3,2,2,107,C,12,Gas,Yes,1875.0,225,No,Apartment ,145,No,As new,Yes,2100.0
751,0,Hyper equipped,2,1,3,186,D,37,Gas,Yes,1650.0,0,No,Others,180,No,As new,No,1650.0
752,2,USA hyper equipped,2,2,2,159,Not specified,42,Gas,Yes,1500.0,175,No,Apartment ,90,No,As new,Yes,1675.0
754,1,Hyper equipped,1,1,1,302,F,61,Others,Yes,800.0,30,No,Apartment ,38,No,Good,No,830.0
756,2,USA installed,1,1,1,95,B,20,Gas,Yes,870.0,80,No,Apartment ,72,No,As new,Yes,950.0
758,1,USA installed,2,1,1,107,C,22,Gas,Yes,1350.0,150,No,Apartment ,91,Yes,As new,Yes,1500.0
759,3,Hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300.0,400,No,Apartment ,80,Yes,As new,Yes,1700.0
760,3,USA hyper equipped,2,2,2,45,Others,40,Gas,Yes,1750.0,225,No,Apartment ,100,No,As new,Yes,1975.0
763,4,USA hyper equipped,2,1,1,196,D,41,Gas,Yes,1260.0,220,No,Apartment ,85,No,Good,Yes,1480.0
764,1,USA hyper equipped,2,1,1,171,D,36,Gas,Yes,1250.0,30,No,Apartment ,107,No,As new,No,1280.0
766,0,USA hyper equipped,2,2,2,327,F,70,Gas,Yes,1650.0,150,No,Others,125,Yes,As new,No,1800.0
