,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
2163,3,Hyper equipped,1,1,1,132,C,26,Gas,Yes,900.0,200,No,Apartment ,60,No,As new,Yes,1100.0
2164,5,Hyper equipped,3,1,1,177,D,49,Gas,Yes,1400.0,250,No,Apartment ,95,No,As new,Unknown,1650.0
2166,3,USA installed,3,1,1,227,Not specified,52,Gas,Yes,1600.0,200,No,Duplex ,130,Yes,As new,Unknown,1800.0
2168,1,Installed,2,2,2,150,C,52,Gas,Yes,1550.0,400,No,Apartment ,145,No,As new,Yes,1950.0
2172,3,Installed,1,1,2,178,D,58,Gas,Yes,1075.0,120,No,Apartment ,88,No,Good,Yes,1195.0
2173,0,Hyper equipped,3,1,2,83,B,16,Gas,No,2500.0,0,No,Apartment ,140,Unknown,As new,Yes,2500.0
2176,3,Hyper equipped,1,1,1,195,D,63,Gas,Yes,1250.0,0,No,Apartment ,70,Yes,As new,Yes,1250.0
2177,3,USA hyper equipped,2,2,1,138,C,60,Gas,Yes,2250.0,250,No,Others,100,No,As new,Yes,2500.0
2179,5,Hyper equipped,1,1,1,237,E,51,Gas,Yes,1020.0,120,No,Apartment ,69,No,As new,Yes,1140.0
2180,5,USA hyper equipped,1,1,1,74,B,15,Gas,Yes,1200.0,200,No,Apartment ,69,Yes,As new,Yes,1400.0
2181,1,Hyper equipped,1,1,1,318,F,68,Gas,Yes,900.0,55,No,Apartment ,60,Unknown,As new,Unknown,955.0
2182,2,Installed,2,1,1,255,Not specified,53,Gas,No,1350.0,250,No,Apartment ,110,Unknown,As new,Yes,1600.0
2184,4,Hyper equipped,3,2,1,185,Not specified,36,Gas,No,2000.0,0,No,Others,140,No,As new,Unknown,2000.0
2185,2,USA hyper equipped,1,1,2,60,B,15,Gas,Yes,1150.0,95,No,Apartment ,75,No,As new,Yes,1245.0
2186,2,Hyper equipped,1,1,1,135,C,38,Gas,Yes,950.0,150,No,Apartment ,80,No,As new,Yes,1100.0
2188,3,Others,2,2,1,102,C,25,Gas,Yes,1300.0,250,No,Apartment ,124,No,As new,Yes,1550.0
2189,6,Hyper equipped,2,1,2,246,E,53,Gas,Yes,1600.0,350,No,Apartment ,103,No,As new,Yes,1950.0
2191,6,Hyper equipped,1,1,2,199,Not specified,38,Gas,Yes,1380.0,175,No,Apartment ,100,Yes,As new,Yes,1555.0
2192,0,USA hyper equipped,2,2,3,165,D,32,Gas,Yes,2800.0,0,No,Duplex ,180,Yes,As new,No,2800.0
2193,2,Hyper equipped,3,2,1,150,C,29,Gas,Yes,1400.0,295,No,Apartment ,130,No,As new,Yes,1695.0
2194,0,USA hyper equipped,2,1,1,180,D,35,Gas,Yes,1750.0,0,No,Others,70,Yes,Just renovated,No,1750.0
2195,0,Hyper equipped,4,1,2,190,D,38,Gas,Yes,1950.0,50,No,Others,175,No,Good,No,2000.0
2198,3,USA hyper equipped,2,2,2,279,F,55,Gas,Yes,1350.0,300,No,Apartment ,168,No,As new,Yes,1650.0
2199,2,Installed,1,1,1,235,E,68,Gas,Yes,800.0,150,No,Apartment ,52,No,As new,Unknown,950.0
2200,1,Installed,2,1,1,273,E,59,Gas,Yes,700.0,35,No,Apartment ,71,Unknown,Good,No,735.0
2201,0,Hyper equipped,2,1,2,161,D,52,Gas,Yes,2220.0,0,No,Duplex ,130,Unknown,Just renovated,Unknown,2220.0
2202,1,Hyper equipped,2,1,2,220,Not specified,47,Gas,Yes,1300.0,300,No,Apartment ,105,Unknown,As new,Yes,1600.0
2203,1,Installed,2,1,1,141,C,27,Others,Yes,1300.0,200,No,Apartment ,120,Yes,As new,Yes,1500.0
2204,2,USA hyper equipped,2,2,2,220,Not specified,47,Gas,Yes,1300.0,150,No,Apartment ,96,No,As new,Yes,1450.0
2205,2,Others,2,1,1,217,Not specified,46,Gas,Yes,1200.0,50,No,Apartment ,100,Unknown,Just renovated,Yes,1250.0
2207,3,Hyper equipped,1,1,1,115,C,23,Gas,Yes,950.0,75,No,Apartment ,84,No,As new,Yes,1025.0
2209,1,Hyper equipped,2,1,1,132,C,26,Gas,Yes,1200.0,180,No,Apartment ,100,No,As new,Yes,1380.0
2211,4,Installed,2,1,2,100,C,21,Gas,Yes,1200.0,125,No,Apartment ,113,No,Just renovated,Yes,1325.0
2212,1,USA hyper equipped,1,1,1,135,C,26,Gas,Yes,1350.0,50,No,Apartment ,60,Yes,As new,Unknown,1400.0
2213,6,USA hyper equipped,2,1,2,147,C,55,Gas,Yes,1950.0,300,No,Apartment ,134,No,As new,Yes,2250.0
2217,1,USA hyper equipped,2,2,1,117,C,22,Gas,Yes,1350.0,130,No,Apartment ,100,No,As new,Yes,1480.0
2218,3,USA hyper equipped,1,1,1,160,D,31,Gas,Yes,1765.0,285,No,Others,100,No,As new,Yes,2050.0
2219,0,USA hyper equipped,2,2,2,231,E,46,Gas,Yes,1600.0,85,No,Others,86,Yes,Just renovated,No,1685.0
2220,5,USA hyper equipped,2,1,2,108,C,27,Gas,Yes,1650.0,250,No,Apartment ,125,No,As new,Yes,1900.0
2222,1,Hyper equipped,3,1,2,181,D,34,Gas,Yes,1750.0,250,No,Apartment ,125,No,Good,Unknown,2000.0
2223,0,USA hyper equipped,3,1,1,219,E,44,Gas,Yes,1300.0,250,No,Others,100,No,As new,Yes,1550.0
2224,4,Installed,2,2,1,214,E,49,Gas,Yes,1150.0,145,No,Apartment ,88,No,As new,Yes,1295.0
2225,2,USA hyper equipped,1,1,1,234,Not specified,20,Gas,Yes,1150.0,100,No,Apartment ,80,No,Good,No,1250.0
2227,6,USA installed,2,1,1,217,Not specified,46,Others,Yes,1200.0,150,No,Apartment ,77,Unknown,Just renovated,Yes,1350.0
2228,5,Hyper equipped,2,1,1,214,Not specified,49,Gas,Yes,1400.0,250,No,Apartment ,95,Unknown,As new,Yes,1650.0
2229,1,USA hyper equipped,3,2,2,232,E,56,Gas,Yes,2100.0,50,No,Apartment ,140,No,As new,Unknown,2150.0
2230,4,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,150,No,Apartment ,75,No,Good,Yes,1050.0
2231,0,Installed,1,1,2,169,D,46,Gas,Yes,1200.0,0,No,Duplex ,100,No,Just renovated,Unknown,1200.0
2232,4,Hyper equipped,3,1,1,335,F,46,Gas,Yes,1200.0,0,No,Apartment ,130,No,Good,Unknown,1200.0
2233,1,Hyper equipped,2,1,1,133,C,26,Gas,Yes,950.0,250,No,Apartment ,104,No,Good,Yes,1200.0
2234,4,USA installed,1,1,1,251,E,53,Gas,Yes,1075.0,120,No,Apartment ,68,No,As new,Yes,1195.0
2236,3,Hyper equipped,2,1,2,220,Not specified,47,Gas,No,1300.0,0,No,Apartment ,205,Unknown,As new,Yes,1300.0
2237,0,Installed,3,1,1,247,Not specified,52,Gas,No,1560.0,40,No,Duplex ,150,Unknown,As new,No,1600.0
2239,1,Installed,2,1,2,221,Not specified,48,Gas,No,2200.0,50,No,Duplex ,135,No,As new,Unknown,2250.0
2242,5,USA hyper equipped,1,1,1,86,B,18,Gas,Yes,1700.0,300,No,Apartment ,61,Yes,As new,Yes,2000.0
2243,4,Hyper equipped,2,1,1,187,D,49,Gas,Yes,1150.0,0,No,Apartment ,88,No,As new,Yes,1150.0
2244,3,Others,2,1,1,111,C,23,Gas,No,970.0,130,No,Apartment ,94,No,Good,Yes,1100.0
2245,3,USA installed,2,2,1,129,C,25,Gas,Yes,1250.0,150,No,Apartment ,92,Unknown,As new,Yes,1400.0
2247,1,Installed,1,1,1,220,Not specified,47,Gas,Yes,1300.0,0,No,Apartment ,90,Unknown,As new,No,1300.0
2248,1,USA installed,3,1,2,154,D,42,Gas,Yes,1800.0,150,No,Apartment ,120,Unknown,As new,Yes,1950.0
2249,0,Hyper equipped,3,2,2,255,Not specified,53,Gas,Yes,1350.0,170,No,Others,95,No,As new,No,1520.0
2250,3,Installed,1,1,1,292,F,58,Gas,Yes,700.0,15,No,Others,40,No,As new,Unknown,715.0
2251,2,Hyper equipped,2,1,1,345,F,89,Gas,Yes,1350.0,385,No,Apartment ,90,Yes,As new,Yes,1735.0
2252,4,USA hyper equipped,2,1,1,43,Others,7,Gas,Yes,1200.0,180,No,Apartment ,90,No,As new,Yes,1380.0
2254,0,USA hyper equipped,2,2,2,114,C,24,Gas,Yes,1590.0,150,No,Apartment ,100,Unknown,As new,Yes,1740.0
2255,1,Hyper equipped,2,1,1,214,Not specified,49,Gas,No,1400.0,250,No,Apartment ,104,No,As new,Unknown,1650.0
2256,4,Hyper equipped,4,2,2,145,C,42,Gas,Yes,2350.0,350,No,Apartment ,170,No,As new,Yes,2700.0
2258,2,USA installed,1,1,1,82,B,61,Gas,Yes,750.0,25,No,Others,45,Unknown,As new,Unknown,775.0
2259,1,Hyper equipped,2,1,1,151,C,33,Gas,Yes,1050.0,25,No,Apartment ,85,No,As new,Unknown,1075.0
2264,0,Hyper equipped,2,1,1,235,E,46,Gas,Yes,1450.0,1,No,Apartment ,90,No,Good,No,1451.0
2265,1,Hyper equipped,2,1,1,292,F,38,Gas,Yes,1450.0,160,No,Apartment ,135,No,As new,Unknown,1610.0
2266,4,USA hyper equipped,2,1,1,206,Not specified,50,Gas,Yes,1050.0,75,No,Apartment ,75,Unknown,Just renovated,Yes,1125.0
2268,0,Others,1,1,1,222,E,47,Gas,Yes,770.0,85,No,Others,56,No,Good,Yes,855.0
2269,4,USA hyper equipped,1,1,1,260,E,51,Gas,Yes,1600.0,250,No,Apartment ,65,Yes,As new,Yes,1850.0
2270,3,USA hyper equipped,2,2,1,151,C,32,Gas,Yes,2150.0,125,No,Duplex ,112,No,As new,Yes,2275.0
2271,3,Hyper equipped,1,1,1,247,E,39,Others,Yes,1150.0,0,No,Apartment ,65,Yes,Good,Yes,1150.0
2272,3,USA hyper equipped,2,1,2,229,E,45,Gas,Yes,1700.0,0,No,Others,115,No,As new,Yes,1700.0
2277,2,Hyper equipped,2,2,2,209,D,41,Gas,Yes,1400.0,150,No,Apartment ,110,No,As new,Yes,1550.0
2278,6,Hyper equipped,1,1,1,199,Not specified,38,Gas,Yes,1380.0,0,No,Others,100,Yes,As new,Unknown,1380.0
2280,2,Hyper equipped,2,1,1,251,E,50,Gas,Yes,1200.0,50,No,Apartment ,73,No,As new,No,1250.0
2281,1,Hyper equipped,1,1,2,323,F,64,Gas,Yes,1100.0,50,No,Apartment ,72,No,As new,Unknown,1150.0
2282,5,Hyper equipped,2,1,1,147,C,29,Gas,Yes,1400.0,290,No,Apartment ,100,No,As new,Yes,1690.0
2283,3,Hyper equipped,2,1,1,162,D,30,Gas,Yes,1300.0,150,No,Apartment ,108,No,Good,Yes,1450.0
2284,1,Hyper equipped,3,1,2,226,Not specified,50,Gas,Yes,2550.0,250,No,Apartment ,110,No,Good,Yes,2800.0
2285,0,USA hyper equipped,2,2,2,264,E,57,Gas,Yes,1250.0,200,No,Apartment ,119,Yes,As new,Yes,1450.0
2286,1,USA hyper equipped,2,1,1,190,D,40,Gas,No,1575.0,75,No,Apartment ,102,Unknown,As new,No,1650.0
2287,1,USA hyper equipped,1,1,1,135,C,26,Gas,Yes,1350.0,50,No,Apartment ,60,Yes,As new,Unknown,1400.0
2288,0,Hyper equipped,2,1,2,282,F,60,Gas,Yes,1300.0,200,No,Apartment ,105,No,Good,Yes,1500.0
2290,2,Hyper equipped,2,1,1,218,E,44,Gas,Yes,1650.0,70,No,Apartment ,130,No,As new,Yes,1720.0
2291,1,Hyper equipped,1,1,1,197,Not specified,40,Gas,No,1195.0,0,No,Apartment ,90,Unknown,As new,No,1195.0
2294,1,Hyper equipped,2,1,1,187,D,47,Gas,Yes,1300.0,0,No,Apartment ,165,No,Good,No,1300.0
2295,6,Hyper equipped,2,1,1,233,Not specified,58,Gas,No,1100.0,150,No,Apartment ,120,Unknown,As new,Yes,1250.0
2296,1,Installed,1,1,1,272,Not specified,58,Gas,No,850.0,250,No,Apartment ,70,No,As new,Unknown,1100.0
2297,5,Hyper equipped,2,2,1,195,Not specified,40,Gas,No,1750.0,375,No,Apartment ,89,Yes,As new,Unknown,2125.0
2298,2,Hyper equipped,2,1,2,206,Not specified,53,Gas,No,2400.0,300,No,Duplex ,140,Yes,As new,No,2700.0
2300,1,Hyper equipped,3,2,3,186,D,39,Gas,Yes,1650.0,100,No,Duplex ,180,No,Good,Yes,1750.0
2301,6,USA hyper equipped,2,2,1,88,B,16,Gas,Yes,1150.0,300,No,Apartment ,85,No,As new,Yes,1450.0
2302,1,Hyper equipped,2,1,1,150,C,30,Gas,Yes,845.0,160,No,Apartment ,79,No,Good,Yes,1005.0
2303,5,Installed,2,1,1,140,Not specified,25,Gas,No,1180.0,200,No,Apartment ,85,Unknown,As new,Yes,1380.0
2304,3,Installed,2,1,1,293,F,58,Gas,No,925.0,60,No,Apartment ,103,No,As new,No,985.0
2305,0,Hyper equipped,3,1,2,204,Not specified,44,Gas,Yes,1650.0,150,No,Others,165,No,Good,No,1800.0
2306,6,Hyper equipped,2,1,1,105,C,22,Gas,Yes,1220.0,160,No,Others,36,Yes,As new,Yes,1380.0
2307,3,Hyper equipped,1,1,1,89,B,19,Gas,Yes,1650.0,300,No,Duplex ,52,Yes,As new,Yes,1950.0
2308,2,Hyper equipped,1,1,1,86,B,18,Gas,Yes,1600.0,300,No,Apartment ,62,Yes,As new,Yes,1900.0
2311,2,Hyper equipped,3,1,1,199,Not specified,43,Others,No,2500.0,0,No,Others,110,Yes,As new,No,2500.0
2312,3,Installed,2,1,1,234,Not specified,49,Gas,No,1150.0,200,No,Apartment ,100,Yes,As new,Unknown,1350.0
2314,4,Hyper equipped,2,1,1,354,Others,52,Gas,Yes,1550.0,100,No,Apartment ,100,No,As new,Yes,1650.0
2315,3,Installed,2,1,1,255,Not specified,53,Gas,Yes,1350.0,25,No,Apartment ,98,No,Just renovated,No,1375.0
2316,3,Installed,3,2,2,220,Not specified,47,Gas,Yes,1300.0,30,No,Duplex ,95,No,As new,Unknown,1330.0
2317,0,Hyper equipped,2,2,2,164,D,35,Gas,Yes,1250.0,110,No,Apartment ,100,No,As new,Yes,1360.0
2318,4,USA hyper equipped,3,2,1,369,Not specified,48,Gas,Yes,1700.0,250,No,Apartment ,150,No,As new,Yes,1950.0
2319,6,Hyper equipped,2,1,1,113,C,22,Gas,Yes,1150.0,150,No,Apartment ,85,No,As new,Yes,1300.0
2320,0,Hyper equipped,2,2,2,235,Not specified,56,Others,Yes,2100.0,350,No,Apartment ,102,Yes,Just renovated,Unknown,2450.0
2322,2,USA hyper equipped,2,1,1,122,C,24,Gas,Yes,1450.0,200,No,Apartment ,84,No,As new,Yes,1650.0
2324,2,Hyper equipped,2,1,1,180,D,38,Gas,Yes,650.0,160,No,Others,33,Unknown,Good,Yes,810.0
2326,0,Hyper equipped,2,2,2,183,D,38,Gas,Yes,2200.0,50,No,Apartment ,133,Unknown,As new,Unknown,2250.0
2329,0,USA hyper equipped,2,2,2,183,D,38,Gas,Yes,2200.0,50,No,Duplex ,133,No,As new,No,2250.0
2330,2,Installed,2,1,1,248,E,49,Gas,Yes,1150.0,150,No,Apartment ,96,No,Just renovated,Unknown,1300.0
2331,2,Hyper equipped,1,1,1,217,E,43,Gas,Yes,925.0,50,No,Apartment ,66,No,As new,Unknown,975.0
2332,1,USA installed,1,1,1,248,Not specified,52,Gas,Yes,1015.0,300,No,Duplex ,55,Yes,As new,No,1315.0
2339,3,Others,1,1,1,142,C,85,Gas,Yes,700.0,140,No,Others,28,No,As new,Yes,840.0
2340,0,Hyper equipped,2,1,2,207,D,49,Gas,Yes,1150.0,85,No,Others,141,Unknown,As new,Unknown,1235.0
2341,4,Hyper equipped,1,1,1,368,Others,50,Gas,Yes,900.0,200,No,Others,45,Yes,As new,Yes,1100.0
2343,3,USA hyper equipped,1,1,1,202,Not specified,27,Gas,Yes,1375.0,0,No,Apartment ,75,Yes,As new,Unknown,1375.0
2344,1,Hyper equipped,1,1,1,182,Not specified,36,Gas,Yes,860.0,0,No,Apartment ,60,Yes,Good,No,860.0
2345,1,Hyper equipped,2,1,2,337,F,67,Gas,Yes,1850.0,100,No,Duplex ,132,No,As new,Unknown,1950.0
2351,2,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750.0,300,No,Apartment ,18,Yes,Good,No,1050.0
2352,2,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750.0,300,No,Apartment ,20,Yes,Good,No,1050.0
2353,2,Hyper equipped,1,1,6,357,Not specified,85,Gas,Yes,700.0,300,No,Apartment ,18,Yes,Good,No,1000.0
2354,2,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750.0,300,No,Apartment ,18,Yes,Good,No,1050.0
2355,5,Hyper equipped,3,2,2,288,F,57,Gas,Yes,1650.0,150,No,Apartment ,110,No,Good,Yes,1800.0
2356,1,USA hyper equipped,2,1,2,94,B,19,Gas,Yes,1450.0,175,No,Apartment ,110,No,As new,Yes,1625.0
2358,3,Hyper equipped,1,1,1,181,D,36,Gas,Yes,1250.0,130,No,Apartment ,70,No,As new,Yes,1380.0
2360,4,USA hyper equipped,2,1,1,68,B,14,Gas,Yes,2000.0,175,No,Apartment ,100,Yes,As new,Yes,2175.0
2362,0,Hyper equipped,1,1,1,346,F,74,Gas,Yes,825.0,0,No,Others,45,No,As new,Unknown,825.0
2363,2,Hyper equipped,2,1,1,144,C,29,Gas,Yes,1200.0,200,No,Apartment ,85,No,Good,Yes,1400.0
2364,4,Others,2,1,1,154,Not specified,36,Gas,Yes,970.0,30,No,Apartment ,85,No,As new,Unknown,1000.0
2365,3,Hyper equipped,3,1,2,55,B,11,Gas,Yes,1300.0,50,No,Apartment ,125,No,Good,No,1350.0
2366,3,Hyper equipped,3,1,2,214,E,49,Gas,Yes,1400.0,250,No,Apartment ,120,Unknown,As new,Yes,1650.0
2367,2,Installed,3,1,2,209,D,40,Gas,Yes,1650.0,165,No,Duplex ,170,No,Just renovated,Unknown,1815.0
2368,2,USA hyper equipped,1,1,1,248,Not specified,52,Gas,Yes,1055.0,75,No,Apartment ,100,Unknown,Good,Yes,1130.0
2369,0,Hyper equipped,3,1,2,205,Not specified,47,Gas,Yes,1850.0,0,No,Others,175,No,As new,Unknown,1850.0
2370,2,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,150,No,Apartment ,120,No,As new,Yes,1400.0
2371,3,Hyper equipped,2,1,2,85,B,14,Gas,Yes,1250.0,180,No,Apartment ,77,No,As new,Yes,1430.0
2372,3,Hyper equipped,2,2,2,272,E,54,Gas,Yes,1600.0,0,No,Duplex ,100,No,As new,Unknown,1600.0
2373,1,Hyper equipped,1,1,1,140,C,35,Gas,Yes,1500.0,200,No,Apartment ,96,Yes,Good,Yes,1700.0
2374,1,Others,2,1,1,203,Not specified,60,Gas,Yes,2250.0,100,No,Apartment ,130,No,As new,No,2350.0
2378,2,Hyper equipped,2,2,2,337,F,67,Gas,Yes,1850.0,115,No,Others,136,Unknown,Good,No,1965.0
2379,3,USA hyper equipped,2,1,1,170,D,40,Gas,Yes,1500.0,150,No,Duplex ,130,Yes,Good,Yes,1650.0
2380,5,Hyper equipped,2,1,1,169,Not specified,37,Gas,Yes,1990.0,165,No,Apartment ,101,No,As new,Yes,2155.0
2384,1,Hyper equipped,2,1,1,247,Not specified,63,Gas,No,1250.0,100,No,Apartment ,75,Yes,As new,Yes,1350.0
2385,2,Installed,3,2,2,217,Not specified,46,Gas,Yes,1200.0,300,No,Others,180,No,Good,No,1500.0
2387,4,Installed,1,1,1,37,Others,63,Gas,Yes,1500.0,300,No,Apartment ,60,Yes,As new,Yes,1800.0
2388,3,Installed,1,1,1,263,Not specified,50,Gas,Yes,900.0,1,No,Apartment ,40,No,Good,No,901.0
2389,0,USA hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200.0,200,No,Apartment ,106,No,Just renovated,No,1400.0
2391,2,Hyper equipped,4,2,3,160,D,34,Gas,Yes,2400.0,200,No,Apartment ,200,No,As new,Yes,2600.0
2393,0,Hyper equipped,2,1,1,244,E,48,Gas,Yes,1400.0,200,No,Apartment ,105,No,As new,No,1600.0
2394,6,USA hyper equipped,2,2,3,167,D,33,Gas,Yes,2350.0,160,No,Apartment ,150,No,As new,Yes,2510.0
2395,1,USA hyper equipped,2,2,2,141,C,28,Gas,Yes,1650.0,200,No,Apartment ,133,Yes,As new,Yes,1850.0
2397,1,USA installed,2,1,1,101,C,22,Gas,Yes,1150.0,95,No,Apartment ,98,No,As new,Yes,1245.0
2398,0,Installed,2,1,1,220,Not specified,47,Gas,Yes,1300.0,110,No,Apartment ,100,No,Good,Yes,1410.0
2399,1,USA installed,1,1,1,241,E,51,Gas,Yes,1100.0,85,No,Apartment ,70,Yes,As new,No,1185.0
2400,1,Installed,2,1,1,171,D,36,Gas,Yes,1750.0,100,No,Apartment ,155,No,As new,Yes,1850.0
2408,4,Hyper equipped,1,1,1,293,F,62,Gas,Yes,850.0,0,No,Others,40,No,As new,No,850.0
2409,2,Hyper equipped,4,2,3,97,C,20,Gas,Yes,2500.0,185,No,Apartment ,198,No,Good,Yes,2685.0
2410,2,USA hyper equipped,1,1,1,214,Not specified,49,Gas,Yes,1400.0,300,No,Apartment ,85,Yes,Good,No,1700.0
2414,0,Hyper equipped,2,1,1,203,Not specified,39,Gas,Yes,1000.0,165,No,Apartment ,114,No,As new,Yes,1165.0
2415,4,Hyper equipped,2,1,1,106,Not specified,21,Gas,Yes,940.0,165,No,Apartment ,76,No,As new,Yes,1105.0
2419,2,Others,2,1,1,243,E,63,Others,Yes,900.0,160,No,Apartment ,70,No,Good,Unknown,1060.0
2420,0,USA hyper equipped,3,1,2,227,Not specified,55,Gas,Yes,1950.0,0,No,Others,180,No,As new,Unknown,1950.0
2421,0,Hyper equipped,4,1,2,188,Not specified,52,Gas,Yes,1690.0,0,No,Others,145,Unknown,Good,No,1690.0
2422,3,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750.0,0,No,Apartment ,55,Unknown,Others,Unknown,750.0
2424,3,Hyper equipped,2,2,1,70,B,13,Gas,Yes,1250.0,200,No,Apartment ,95,No,As new,Yes,1450.0
2428,0,USA hyper equipped,3,1,2,275,E,55,Gas,Yes,1900.0,29,No,Others,130,No,As new,No,1929.0
2430,1,USA hyper equipped,2,1,2,234,Not specified,49,Gas,No,1150.0,150,No,Others,110,Unknown,Good,Yes,1300.0
2434,3,Hyper equipped,2,1,2,204,Not specified,44,Others,Yes,1650.0,0,No,Apartment ,94,No,As new,Yes,1650.0
2435,2,Hyper equipped,1,1,1,85,B,17,Gas,No,850.0,50,No,Others,43,Yes,As new,Unknown,900.0
2438,3,USA installed,1,1,1,212,E,42,Gas,Yes,1200.0,220,No,Apartment ,102,Yes,Just renovated,Yes,1420.0
2440,4,Installed,2,1,1,216,E,43,Gas,Yes,1200.0,250,No,Apartment ,90,No,As new,Unknown,1450.0
2441,1,USA hyper equipped,2,1,2,286,F,74,Others,Yes,1100.0,250,No,Apartment ,85,No,As new,Unknown,1350.0
2442,3,Hyper equipped,2,1,2,132,C,26,Gas,Yes,1250.0,150,No,Apartment ,111,No,As new,Yes,1400.0
2444,0,USA hyper equipped,3,1,3,195,D,38,Gas,Yes,2200.0,1,No,Others,130,No,As new,Unknown,2201.0
2446,2,Hyper equipped,1,1,1,202,D,57,Gas,Yes,1250.0,180,No,Apartment ,98,No,As new,Yes,1430.0
2448,2,USA hyper equipped,2,1,1,122,C,24,Gas,Yes,1450.0,200,No,Apartment ,84,No,As new,Yes,1650.0
2450,3,Installed,1,1,1,126,Not specified,25,Gas,No,710.0,0,No,Apartment ,85,No,As new,Unknown,710.0
2451,1,Installed,1,1,1,314,F,62,Gas,Yes,1075.0,200,No,Apartment ,62,No,Just renovated,Unknown,1275.0
2452,5,USA hyper equipped,2,1,1,300,F,49,Gas,Yes,1150.0,75,No,Others,85,Unknown,As new,Yes,1225.0
2453,0,Hyper equipped,3,2,2,229,E,52,Gas,Yes,1600.0,150,No,Others,147,Yes,As new,Yes,1750.0
2454,4,USA hyper equipped,2,1,1,209,D,15,Gas,Yes,1595.0,75,No,Apartment ,95,Yes,As new,Unknown,1670.0
2455,4,Installed,3,2,2,208,D,41,Gas,Yes,1450.0,100,No,Others,100,Unknown,Good,Yes,1550.0
2457,3,Hyper equipped,2,2,1,45,Others,9,Gas,Yes,2250.0,250,No,Apartment ,120,No,As new,Yes,2500.0
2458,2,Hyper equipped,2,1,2,227,Not specified,52,Gas,Yes,1600.0,0,No,Apartment ,120,Yes,As new,No,1600.0
2459,0,Hyper equipped,3,1,2,420,Others,36,Gas,Yes,2000.0,0,No,Duplex ,170,No,Just renovated,Unknown,2000.0
2460,2,Installed,2,1,2,142,C,28,Gas,Yes,1100.0,280,No,Apartment ,106,No,As new,Yes,1380.0
2461,2,USA hyper equipped,2,1,2,174,D,34,Gas,Yes,1400.0,400,No,Apartment ,133,No,Just renovated,Yes,1800.0
2464,4,USA hyper equipped,3,1,1,109,C,27,Gas,Yes,1390.0,200,No,Apartment ,107,Unknown,As new,Yes,1590.0
2465,2,USA installed,2,1,1,247,Not specified,63,Gas,Yes,1250.0,60,No,Apartment ,108,Unknown,As new,Yes,1310.0
2466,5,USA hyper equipped,3,1,1,176,D,38,Gas,Yes,1950.0,300,No,Duplex ,80,Yes,As new,Yes,2250.0
2467,2,USA installed,2,2,1,227,Not specified,52,Gas,Yes,1600.0,150,No,Apartment ,85,Yes,As new,Yes,1750.0
2468,2,Installed,2,1,1,233,Not specified,58,Gas,Yes,1100.0,160,No,Apartment ,70,No,As new,Yes,1260.0
2471,0,USA hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,65,No,Others,65,No,As new,No,965.0
2472,0,USA hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,65,No,Others,65,No,As new,No,965.0
2473,1,Installed,3,1,2,154,D,30,Gas,Yes,1500.0,180,No,Apartment ,125,Unknown,Just renovated,Yes,1680.0
2475,2,Hyper equipped,2,1,2,159,Not specified,42,Gas,Yes,1500.0,250,No,Apartment ,110,No,Good,Yes,1750.0
2476,2,Installed,3,1,2,136,C,40,Gas,No,2050.0,100,No,Apartment ,110,Yes,Good,No,2150.0
2477,6,Hyper equipped,2,2,1,247,Not specified,63,Gas,Yes,1250.0,120,No,Apartment ,102,No,As new,Yes,1370.0
2479,4,Installed,3,2,2,259,E,55,Gas,Yes,2000.0,350,No,Apartment ,180,No,As new,Yes,2350.0
2480,2,Installed,1,1,1,272,Not specified,58,Gas,No,850.0,150,No,Apartment ,65,Yes,As new,Unknown,1000.0
2481,1,USA hyper equipped,1,1,2,48,B,10,Gas,Yes,1100.0,125,No,Apartment ,75,Yes,As new,Yes,1225.0
2482,1,Others,2,1,1,189,D,45,Others,Yes,1300.0,50,No,Apartment ,95,No,As new,Unknown,1350.0
2483,2,USA hyper equipped,2,1,2,122,C,24,Gas,Yes,1450.0,200,No,Apartment ,74,No,As new,Yes,1650.0
2485,4,Others,2,1,1,117,C,56,Gas,Yes,1225.0,160,No,Apartment ,88,No,Good,Yes,1385.0
2488,1,Hyper equipped,3,1,1,200,Not specified,42,Gas,Yes,1800.0,150,No,Duplex ,140,No,As new,Yes,1950.0
2490,3,Installed,1,1,1,365,Not specified,79,Gas,Yes,800.0,160,No,Apartment ,60,Yes,As new,No,960.0
2491,6,Installed,2,1,1,173,D,33,Gas,Yes,1575.0,155,No,Apartment ,107,No,As new,Yes,1730.0
2492,4,Installed,1,1,1,37,Others,63,Gas,Yes,1500.0,250,No,Apartment ,60,Yes,Good,Yes,1750.0
